App,Installs,Rating,Reviews,Price,Size,Genres,Category,Content Rating,Last Updated,Current Ver,Android Ver,Type,Date,Month
Bingo Story – Free Bingo Games,"1,000,000+",4.5,21208.0,0.0,Varies with device,Board,GAME_BOARD,Everyone,2016-12-20,1.32.1,5.0 and up,Free,2016-12-20,12.0
Wizard of Oz Free Slots Casino,"10,000,000+",4.6,142633.0,0.0,Varies with device,Casino,GAME_CASINO,Teen,2014-11-09,152.0.2071,4.4 and up,Free,2014-11-09,11.0
Hit it Rich! Lucky Vegas Casino Slot Machine Game,"5,000,000+",4.4,125842.0,0.0,90M,Casino,GAME_CASINO,Teen,2014-05-09,1.8.9921,4.4 and up,Free,2014-05-09,5.0
Redecor - Home Design Game,"5,000,000+",4.5,43493.0,0.0,40M,Simulation,GAME_SIMULATION,Everyone,2020-04-10,1.1.71,5.0 and up,Free,2020-04-10,4.0
DRAGON BALL LEGENDS,"10,000,000+",4.1,571867.0,0.0,97M,Action,GAME_ACTION,Teen,2018-05-17,3.0.0,6.0 and up,Free,2018-05-17,5.0
8 Ball Pool,"500,000,000+",4.4,7295707.0,0.0,66M,Sports,GAME_SPORTS,Everyone,2013-01-23,5.2.6,4.4 and up,Free,2013-01-23,1.0
Age of Z Origins,"10,000,000+",4.3,145606.0,0.0,47M,Strategy,GAME_STRATEGY,Teen,2018-09-21,1.2.64,5.0 and up,Free,2018-09-21,9.0
Arknights,"1,000,000+",4.6,6167.0,0.0,72M,Strategy,GAME_STRATEGY,Teen,2020-01-15,1.7.10,4.1 and up,Free,2020-01-15,1.0
Family Island™ - Farm game adventure,"10,000,000+",4.2,159261.0,0.0,76M,Casual,GAME_CASUAL,Teen,2019-11-18,202104.1.10960,4.4 and up,Free,2019-11-18,11.0
Bingo Bash featuring MONOPOLY: Live Bingo Games,"10,000,000+",4.5,189339.0,0.0,72M,Board,GAME_BOARD,Teen,2012-09-18,1.168.1,4.4 and up,Free,2012-09-18,9.0
Jackpot World™ - Free Vegas Casino Slots,"5,000,000+",4.5,83406.0,0.0,101M,Casino,GAME_CASINO,Teen,2018-05-11,1.61,4.4 and up,Free,2018-05-11,5.0
Farm Heroes Saga,"100,000,000+",4.6,2331849.0,0.0,81M,Casual,GAME_CASUAL,Everyone,2013-12-10,5.54.2,4.1 and up,Free,2013-12-10,12.0
Angry Birds 2,"100,000,000+",4.3,1741090.0,0.0,69M,Casual,GAME_CASUAL,Everyone,2015-07-23,2.51.0,5.0 and up,Free,2015-07-23,7.0
Clockmaker: Match 3 Games! Three in Row Puzzles,"10,000,000+",4.3,99384.0,0.0,Varies with device,Puzzle,GAME_PUZZLE,Everyone,2015-01-10,53.5.0,4.4 and up,Free,2015-01-10,1.0
Quick Hit Casino Games - Free Casino Slots Games,"10,000,000+",4.4,65864.0,0.0,Varies with device,Casino,GAME_CASINO,Teen,2015-03-10,2.5.24,4.1 and up,Free,2015-03-10,3.0
Epic Seven,"5,000,000+",4.3,126523.0,0.0,58M,Role Playing,GAME_ROLE_PLAYING,Teen,2018-11-07,1.0.292,5.0 and up,Free,2018-11-07,11.0
Harry Potter: Hogwarts Mystery,"50,000,000+",4.5,801748.0,0.0,134M,Adventure,GAME_ADVENTURE,Teen,2018-04-24,3.3.3,5.0 and up,Free,2018-04-24,4.0
Fishing Clash,"50,000,000+",4.6,403701.0,0.0,102M,Simulation,GAME_SIMULATION,Everyone,2017-10-24,1.0.142,4.1 and up,Free,2017-10-24,10.0
新三國志手機版-光榮特庫摩授權,"500,000+",3.8,4860.0,0.0,79M,Strategy,GAME_STRATEGY,Teen,2017-11-15,2.9.1,6.0 and up,Free,2017-11-15,11.0
Gold Fish Casino Slots - FREE Slot Machine Games,"5,000,000+",4.6,154060.0,0.0,Varies with device,Casino,GAME_CASINO,Teen,2014-05-20,26.02.00,4.1 and up,Free,2014-05-20,5.0
League of Legends: Wild Rift,"10,000,000+",3.9,3025.0,0.0,Varies with device,Strategy,GAME_STRATEGY,Teen,2021-03-28,2.2.0.4027,5.0 and up,Free,2021-03-28,3.0
Game of Thrones Slots Casino - Slot Machine Games,"1,000,000+",4.4,22827.0,0.0,Varies with device,Casino,GAME_CASINO,Teen,2019-05-29,1.1.2543,5.0 and up,Free,2019-05-29,5.0
WWE Champions 2021,"10,000,000+",3.8,143579.0,0.0,97M,Role Playing,GAME_ROLE_PLAYING,Teen,2017-01-25,0.492,4.4 and up,Free,2017-01-25,1.0
War Robots. 6v6 Tactical Multiplayer Battles,"50,000,000+",4.0,1831264.0,0.0,909M,Action,GAME_ACTION,Everyone 10+,2015-08-26,6.9.0,5.0 and up,Free,2015-08-26,8.0
Final Fantasy XV: A New Empire,"10,000,000+",3.6,215066.0,0.0,Varies with device,Strategy,GAME_STRATEGY,Everyone 10+,2017-06-28,8.0.7.140,Varies with device,Free,2017-06-28,6.0
Scatter Slots - Las Vegas Casino Game 777 Online,"10,000,000+",4.6,349554.0,0.0,120M,Casino,GAME_CASINO,Mature 17+,2015-04-06,3.79.0,4.4 and up,Free,2015-04-06,4.0
Minecraft,"10,000,000+",4.5,2044686.0,7.49,Varies with device,Arcade,GAME_ARCADE,Everyone 10+,2011-08-15,1.16.210.05,Varies with device,Paid,2011-08-15,8.0
Phase 10: World Tour,"1,000,000+",4.2,32081.0,0.0,60M,Card,GAME_CARD,Everyone,2019-10-11,1.3.515,4.1 and up,Free,2019-10-11,10.0
Dragonscapes Adventure,"1,000,000+",4.7,17910.0,0.0,67M,Adventure,GAME_ADVENTURE,Everyone,2020-10-27,1.1.6,4.4 and up,Free,2020-10-27,10.0
Cash Tornado Slots - Vegas Casino Slots,"1,000,000+",4.6,22108.0,0.0,79M,Casino,GAME_CASINO,Teen,2019-05-10,1.4.2,4.4 and up,Free,2019-05-10,5.0
myVEGAS Slots: Las Vegas Casino Games & Slots,"10,000,000+",4.5,164334.0,0.0,64M,Casino,GAME_CASINO,Teen,2013-09-27,3.10.3,4.4 and up,Free,2013-09-27,9.0
Hero Wars – Hero Fantasy Multiplayer Battles,"50,000,000+",4.4,292156.0,0.0,Varies with device,Role Playing,GAME_ROLE_PLAYING,Teen,2017-03-15,1.106.203,5.0 and up,Free,2017-03-15,3.0
Warpath,"5,000,000+",4.4,36706.0,0.0,71M,Strategy,GAME_STRATEGY,Teen,2020-11-09,1.08.03,5.0 and up,Free,2020-11-09,11.0
MLB Tap Sports Baseball 2021,"100,000+",4.2,1946.0,0.0,176M,Sports,GAME_SPORTS,Everyone,2021-03-16,1.0.1,5.0 and up,Free,2021-03-16,3.0
Clash of Kings : Newly Presented Knight System,"50,000,000+",4.1,791298.0,0.0,143M,Strategy,GAME_STRATEGY,Teen,2014-06-30,6.31.0,4.0.3 and up,Free,2014-06-30,6.0
Hay Day,"100,000,000+",4.4,3960701.0,0.0,136M,Casual,GAME_CASUAL,Everyone,2013-11-13,1_49_4,4.1 and up,Free,2013-11-13,11.0
Angry Birds Dream Blast - Bird Bubble Puzzle,"10,000,000+",4.5,106125.0,0.0,149M,Puzzle,GAME_PUZZLE,Everyone,2018-11-12,1.29.2,5.0 and up,Free,2018-11-12,11.0
Candy Crush Friends Saga,"50,000,000+",4.6,584571.0,0.0,Varies with device,Casual,GAME_CASUAL,Everyone,2018-10-10,1.54.4,4.4 and up,Free,2018-10-10,10.0
Chapters: Interactive Stories,"10,000,000+",4.1,166748.0,0.0,99M,Simulation,GAME_SIMULATION,Mature 17+,2017-09-09,6.1.5,4.4 and up,Free,2017-09-09,9.0
Mighty Party: Magic Arena,"5,000,000+",3.8,53142.0,0.0,66M,Role Playing,GAME_ROLE_PLAYING,Teen,2018-02-09,1.65,5.1 and up,Free,2018-02-09,2.0
Bubble Witch 3 Saga,"50,000,000+",4.6,927646.0,0.0,103M,Puzzle,GAME_PUZZLE,Everyone,2017-01-11,7.4.20,4.1 and up,Free,2017-01-11,1.0
Battle Warship: Naval Empire,"10,000,000+",3.8,56391.0,0.0,79M,Strategy,GAME_STRATEGY,Everyone 10+,2017-02-28,1.5.0.3,4.1 and up,Free,2017-02-28,2.0
Cookie Jam™ Match 3 Games | Connect 3 or More,"50,000,000+",4.5,269731.0,0.0,143M,Puzzle,GAME_PUZZLE,Everyone,2014-03-28,11.30.122,4.4 and up,Free,2014-03-28,3.0
Choices: Stories You Play,"10,000,000+",4.3,494450.0,0.0,89M,Simulation,GAME_SIMULATION,Teen,2016-08-17,2.8.2,5.0 and up,Free,2016-08-17,8.0
Bingo Pop: Free Live Multiplayer Bingo Board Games,"10,000,000+",4.5,76628.0,0.0,113M,Board,GAME_BOARD,Teen,2014-09-24,7.0.49,4.4 and up,Free,2014-09-24,9.0
Club Vegas 2021: New Slots Games & Casino bonuses,"5,000,000+",4.7,78907.0,0.0,116M,Casino,GAME_CASINO,Teen,2017-06-29,78.0.13,4.1 and up,Free,2017-06-29,6.0
Yu-Gi-Oh! Duel Links,"50,000,000+",4.4,842502.0,0.0,78M,Card,GAME_CARD,Teen,2017-01-10,5.5.0,5.0 and up,Free,2017-01-10,1.0
Pet Rescue Saga,"100,000,000+",4.6,840997.0,0.0,82M,Casual,GAME_CASUAL,Everyone,2013-06-03,1.282.19,4.1 and up,Free,2013-06-03,6.0
